fecha,producto_id,nombre,cantidad,costo_unit,precio_unit,descuento,precio_final,total,utilidad
2026-07-01,VP-18,Vaper Hulk 8k,1,12000,25000,0,25000,25000,13000
2026-07-01,ARREGLO,Arreglo - CABEZA REDMI,1,15000,30000,0,30000,30000,15000
2026-07-01,PLT-01,Netflix pantalla,1,17000,17000,0,17000,17000,0
2026-07-01,PLT-02,Disney pantalla,1,15000,15000,0,15000,15000,0
2026-07-01,HDG-02,Hidrogel mate,1,3400,15000,0,15000,15000,11600
2026-07-01,AE-25,VP Cabeza tipo C 25W,1,8000,18000,0,18000,18000,10000
2026-07-01,GF-11,Gafas SEVEN sport,1,19000,35000,3000,32000,32000,13000
2026-07-01,LNIS-21,Locion VICTORY - Invictus by Paco Rabanne,1,10800,24900,4900,20000,20000,9200
2026-07-01,VP-25,Capsula destilado nacional,1,25000,50000,0,50000,50000,25000
2026-07-01,VP-30,Vaper Urbar 5k,1,6500,17000,0,17000,17000,10500
2026-07-01,CR-02,Cueros OCB #7,1,1500,4000,0,4000,4000,2500
2026-07-01,FL-01,Filtro pluma roja,1,600,2000,0,2000,2000,1400
2026-07-01,GO-172,Gorra Pantera Rosa,1,28000,55000,5000,50000,50000,22000
2026-07-02,ARREGLO,Arreglo - display,1,80000,110000,0,110000,110000,30000
2026-07-02,VTBS-03,V Blindado Samsung A15/A24/A25/A31/M15/F15/A34/M15 5G/M34 5G/F15 5G/F34,1,2000,15000,0,15000,15000,13000
2026-07-02,ARREGLO,Arreglo - abono - separado de mochitos,1,20000,20000,0,20000,20000,0
2026-07-02,VP-31,Vaper Chris Brown 15k,1,15000,30000,0,30000,30000,15000
2026-07-03,CMS-14,Camiseta Colombia nacional Beish,1,28000,48000,0,48000,48000,20000
2026-07-03,VTA-02,Vidrio antiespia iPhone 11 Pro Max/XS Max,1,3000,15000,0,15000,15000,12000
2026-07-03,VTA-02,Vidrio antiespia iPhone 11 Pro Max/XS Max,1,3000,15000,0,15000,15000,12000
2026-07-03,ARREGLO,Arreglo - caseta blessed,1,38000,65000,0,65000,65000,27000
2026-07-03,ARREGLO,Arreglo - colombia beihs,1,70000,109500,0,109500,109500,39500
2026-07-03,ARREGLO,Arreglo - colombia bordada,1,38000,50000,0,50000,50000,12000
2026-07-04,VP-02,Vaper Urbar 15k,1,16000,30000,0,30000,30000,14000
2026-07-04,ARREGLO,Arreglo - honor display,1,85000,120000,0,120000,120000,35000
2026-07-04,PLT-01,Netflix pantalla,1,17000,17000,0,17000,17000,0
2026-07-04,SMC-01,Simcard,1,1000,4000,0,4000,4000,3000
2026-07-05,VP-11,Vaper MTRX 25k,1,20000,42000,0,42000,42000,22000
2026-07-05,ARREGLO,Arreglo - Gafas,1,10000,18000,0,18000,18000,8000
2026-07-05,ARREGLO,Arreglo - Recargas,1,2500,3000,0,3000,3000,500
2026-07-05,ARREGLO,Arreglo - Recarga,1,6000,6500,0,6500,6500,500
2026-07-05,ARREGLO,Arreglo - arreglo,1,0,5000,0,5000,5000,5000
2026-07-06,VP-25,Capsula destilado nacional,1,25000,50000,5000,45000,45000,20000
2026-07-06,VP-38,Bateria destilado TC,1,15000,45000,0,45000,45000,30000
2026-07-06,VP-11,Vaper MTRX 25k,1,20000,42000,0,42000,42000,22000
2026-07-06,GF-31,Gafas Oakley rectangular,1,14000,25000,0,25000,25000,11000
2026-07-06,PLT-01,Netflix pantalla,1,17000,17000,0,17000,17000,0
2026-07-06,ARREGLO,Arreglo - abono desbloqueo de pay joy,1,100000,100000,0,100000,100000,0
2026-07-06,HDG-01,Hidrogel claro,1,3200,13000,0,13000,13000,9800
2026-07-06,CMS-08,Camiseta colombia encauchetada 1.1,1,38000,65000,5000,60000,60000,22000
2026-07-06,CMS-08,Camiseta colombia encauchetada 1.1,1,38000,65000,5000,60000,60000,22000
2026-07-06,PLT-01,Netflix pantalla,1,17000,17000,4000,13000,13000,0
2026-07-06,VP-30,Vaper Urbar 5k,1,6500,17000,0,17000,17000,10500
2026-07-07,CMS-13,Camiseta Colombia Beish 1.1,1,36000,99000,0,99000,99000,63000
2026-07-07,CMS-13,Camiseta Colombia Beish 1.1,1,36000,99000,0,99000,99000,63000
2026-07-07,ARREGLO,Arreglo - camisa de colombia bordada,1,37000,55000,0,55000,55000,18000
2026-07-07,VP-02,Vaper Urbar 15k,1,16000,30000,0,30000,30000,14000
2026-07-07,ARREGLO,Arreglo - pegada,1,0,10000,0,10000,10000,10000
2026-07-07,VTG-01.SAMSUNG,A02/A02S/A03/A3S/A03CORE/134G/A135G/A21s/A234G/A235G/F235G/M13/M135G/M13INDIA/M23/M325G/M335G/3CORE/A04/A04S/A04E/A04CORE/M02S/F02S/M12/A02/M02/A325G/A12/A12Nacho/F12/F13/F04/M04,1,2000,15000,0,15000,15000,13000
2026-07-07,ARREGLO,Arreglo - Recarga,1,8000,8500,0,8500,8500,500
2026-07-08,VP-24,Vaper Death Row 5k,1,6000,15000,0,15000,15000,9000
2026-07-08,CMS-06,Camisetas tela Catar en Clemont - Undergold - Jordan,1,38000,65000,0,65000,65000,27000
2026-07-08,MD-03,Medias Economicas nike,1,3000,6000,0,6000,6000,3000
2026-07-08,MD-01,Medias cortas nike,1,5000,10000,4000,6000,6000,1000
2026-07-08,AE-20,VP Cargador completo TV 4A 25W,1,9000,24000,4000,20000,20000,11000
2026-07-08,ARREGLO,Arreglo - Pin de carga VIVO,1,20000,40000,0,40000,40000,20000
2026-07-08,VP-27,vaper nicky Jam x fume 10k,1,13000,27000,0,27000,27000,14000
2026-07-08,VP-18,Vaper Hulk 8k,1,12000,25000,0,25000,25000,13000
2026-07-08,VP-31,Vaper Chris Brown 15k,1,15000,30000,0,30000,30000,15000
2026-07-08,MCRS-01,Protector modulo de cámaras IP 15 Pro Max/15 Pro,1,7000,15000,0,15000,15000,8000
2026-07-08,VP-39,Vaper esencia Chillax,1,14000,25000,0,25000,25000,11000
2026-07-09,LNIS-25,Locion BLACK SECRET - Armani Code by Giorgio Armani,1,10800,24900,0,24900,24900,14100
2026-07-09,PLT-01,Netflix pantalla,1,17000,17000,4000,13000,13000,0
2026-07-09,VP-24,Vaper Death Row 5k,1,6000,15000,0,15000,15000,9000
2026-07-09,MT-29,Funda silicona Motorola E7,1,4500,15000,0,15000,15000,10500
2026-07-09,VBHN-02,V Blindado Infinix SMART 9/SPARK GO 1/INF SPARK 30C/TEC POP 9/INF HOT 50/HOT 50i/HOT 50 PRO/MOTO G15,1,2000,15000,0,15000,15000,13000
2026-07-09,TS-11,Funda silicona Tecno Spark 30 pro,1,6500,15000,0,15000,15000,8500
2026-07-09,ARREGLO,Arreglo - Restante Tecno,1,25000,100000,0,100000,100000,75000
2026-07-09,AE-24,VP Cargador completo USB - C 30W,1,15000,28000,0,28000,28000,13000
2026-07-09,CR-01,Cueros raro,1,4500,10000,0,10000,10000,5500
2026-07-10,IP-27,Forro iPhone 13/14 Silicona,1,5500,15000,0,15000,15000,9500
2026-07-10,MM-07,Memoria musica,1,4500,10000,2000,8000,8000,3500
2026-07-10,ARREGLO,Arreglo - display moto,1,90000,130000,0,130000,130000,40000
2026-07-10,ARREGLO,Arreglo - puerto,1,20000,30000,0,30000,30000,10000
2026-07-10,GF-34,Gafas Oakley 2 puntos,1,14000,25000,0,25000,25000,11000
2026-07-10,VP-30,Vaper Urbar 5k,1,6500,17000,0,17000,17000,10500
2026-07-10,VP-31,Vaper Chris Brown 15k,1,15000,30000,0,30000,30000,15000
2026-07-10,ARREGLO,Arreglo - boton,1,30000,40000,0,40000,40000,10000
2026-07-11,VP-25,Capsula destilado nacional,1,25000,50000,0,50000,50000,25000
2026-07-11,VP-08,Vaper Lost Mary Grande,1,8000,22000,2000,20000,20000,12000
2026-07-11,VP-14,Vaper Viral 9k,1,12000,25000,0,25000,25000,13000
2026-07-11,VP-24,Vaper Death Row 5k,1,6000,15000,0,15000,15000,9000
2026-07-12,VP-24,Vaper Death Row 5k,1,6000,15000,0,15000,15000,9000
2026-07-12,GO-172,Gorra Pantera Rosa,1,28000,55000,5000,50000,50000,22000
2026-07-12,CMS-06,Camisetas tela Catar en Clemont - Undergold - Jordan,1,38000,65000,0,65000,65000,27000
2026-07-12,PLT-01,Netflix pantalla,1,17000,17000,0,17000,17000,0
2026-07-13,GO-08,Gorra basica,1,14000,25000,0,25000,25000,11000
2026-07-13,VP-30,Vaper Urbar 5k,1,6500,17000,0,17000,17000,10500
2026-07-13,VP-31,Vaper Chris Brown 15k,1,15000,30000,0,30000,30000,15000
2026-07-14,VBHN-01,V Blindado VTBS-01/VBRM-04/VBRM-01/Honor X7B/X7B 5G/X7C/X5C/PLAY 8T/90 SMART/SMART 20/200 SMART/SPARK 10 PRO/MOTO G75/INFINIX note 30/SAM A57M,1,2000,15000,0,15000,15000,13000
2026-07-14,VP-18,Vaper Hulk 8k,1,12000,25000,0,25000,25000,13000
2026-07-14,VP-39,Vaper esencia Chillax,1,14000,25000,0,25000,25000,11000
